Precipitation,CapDate,CityCode,TempAvg,TempMax,TempMin,WindDirection,WindSpeed
0.0,2016-01-03,MWN,60,60,60,27,52.6
0.0,2016-01-03,ACY,36,46,26,28,6.26
0.0,2016-01-03,EWR,37,44,30,25,10.1
0.0,2016-01-03,ABQ,31,38,23,27,4.63
0.0,2016-01-03,CAO,31,46,15,27,5.06
0.02,2016-01-03,ROW,27,36,17,17,1.8
0.01,2016-01-03,ALB,33,38,28,25,6.23
0.01,2016-01-03,BGM,25,30,21,26,8.86
0.13,2016-01-03,BUF,29,34,23,26,13.73
0.01,2016-01-03,GFL,33,37,29,21,7.3
0.0,2016-01-03,ISP,37,44,30,27,8.63
0.0,2016-01-03,LGA,40,43,35,27,11.7
0.05,2016-01-03,ROC,28,34,22,26,11.23
0.19,2016-01-03,SYR,29,34,23,24,11.5
0.0,2016-01-03,AVL,39,46,30,34,10.16
0.16,2016-01-03,HSE,50,56,44,21,4.43
0.0,2016-01-03,CLT,43,53,33,18,2.3
0.0,2016-01-03,GSO,41,51,31,30,4.2
0.0,2016-01-03,HKY,43,53,32,31,2.36
0.0,2016-01-03,RDU,43,52,35,27,1.86
0.63,2016-01-03,ILM,48,56,40,32,5.03
0.0,2016-01-03,BIS,21,30,12,25,7.9
0.0,2016-01-03,DIK,20,30,9,25,10.76
0.0,2016-01-03,FAR,20,28,12,27,7.8
0.0,2016-01-03,GFK,19,28,10,28,9.46
0.0,2016-01-03,ISN,21,26,9,24,8.1
0.05,2016-01-03,CAK,29,32,25,26,11.4
0.02,2016-01-03,CLE,29,32,26,25,12.43
0.0,2016-01-03,CMH,31,35,26,26,8.53
0.0,2016-01-03,DAY,30,35,24,26,11.93
0.0,2016-01-03,MFD,27,31,23,24,11.46
0.0,2016-01-03,TOL,29,31,25,26,12.7
0.03,2016-01-03,YNG,28,32,24,25,11.23
0.0,2016-01-03,GAG,33,47,18,28,5.46
0.0,2016-01-03,OKC,35,46,24,30,7.16
0.0,2016-01-03,PNC,33,47,20,28,3.96
0.0,2016-01-03,TUL,36,48,24,29,5.1
0.21,2016-01-03,AST,36,42,30,9,9.46
0.06,2016-01-03,BNO,7,21,-6,11,3.5
0.06,2016-01-03,EUG,30,36,23,1,7.86
0.01,2016-01-03,MFR,34,43,24,9,3.4
0.01,2016-01-03,PDT,19,20,17,12,4.0
0.31,2016-01-03,PDX,32,35,29,9,19.93
0.0,2016-01-03,RDM,15,24,6,32,2.8
0.29,2016-01-03,SLE,32,38,25,34,7.13
0.0,2016-01-03,ABE,34,41,25,27,8.3
0.31,2016-01-03,ERI,29,33,26,24,13.96
0.0,2016-01-03,MDT,36,43,29,30,8.8
0.0,2016-01-03,PHL,39,45,31,27,8.3
0.01,2016-01-03,PIT,31,35,27,25,9.53
0.0,2016-01-03,AVP,32,35,28,25,9.13
0.01,2016-01-03,IPT,31,35,25,26,7.83
0.05,2016-01-03,SJU,77,83,71,10,5.9
0.0,2016-01-03,PVD,36,43,28,26,7.36
0.0,2016-01-03,AND,45,54,35,30,1.13
0.55,2016-01-03,CHS,53,61,45,22,3.86
0.0,2016-01-03,CAE,49,57,40,21,2.3
0.0,2016-01-03,GSP,45,55,35,19,2.53
0.0,2016-01-03,ABR,18,29,7,26,6.16
0.0,2016-01-03,HON,18,26,9,29,8.4
0.0,2016-01-03,PIR,22,29,15,27,10.5
0.0,2016-01-03,RAP,24,37,11,26,3.26
0.0,2016-01-03,FSD,18,26,9,30,7.2
0.0,2016-01-03,TRI,34,44,24,23,3.93
0.0,2016-01-03,CHA,40,48,31,35,3.6
0.0,2016-01-03,CKV,37,47,27,28,5.66
0.0,2016-01-03,CSV,34,44,24,29,4.23
0.0,2016-01-03,TYS,36,45,27,26,2.5
0.0,2016-01-03,MEM,40,51,29,30,3.53
0.0,2016-01-03,BNA,39,50,28,29,3.73
0.0,2016-01-03,OQT,37,47,27,18,0.5
0.0,2016-01-03,ABI,41,47,34,20,5.76
0.0,2016-01-03,AMA,34,45,22,29,4.73
0.22,2016-01-03,AUS,46,53,40,22,8.0
0.2,2016-01-03,ATT,47,52,42,22,4.1
0.02,2016-01-03,BPT,48,53,43,11,9.56
1.54,2016-01-03,BRO,47,50,42,32,13.2
0.0,2016-01-03,CDS,38,47,29,30,4.63
0.01,2016-01-03,CLL,48,53,43,33,7.73
1.81,2016-01-03,CRP,47,51,42,35,13.03
0.0,2016-01-03,DHT,35,50,19,29,4.23
0.0,2016-01-03,DAL,44,51,36,33,4.9
0.0,2016-01-03,DFW,46,53,38,32,6.73
0.57,2016-01-03,DRT,47,51,42,22,3.16
0.0,2016-01-03,ELP,37,44,31,4,5.0
0.0,2016-01-03,FTW,44,52,36,31,5.93
0.23,2016-01-03,GLS,49,52,44,12,13.9
0.09,2016-01-03,HOU,50,54,45,11,9.56
0.0,2016-01-03,LBB,34,43,25,21,5.1
0.04,2016-01-03,MAF,37,43,31,21,6.4
0.0,2016-01-03,SJT,42,48,35,19,4.93
1.04,2016-01-03,SAT,47,52,41,22,6.2
1.29,2016-01-03,VCT,47,52,42,22,8.46
0.0,2016-01-03,ACT,45,51,39,33,6.26
0.0,2016-01-03,SPS,40,48,31,31,8.06
0.0,2016-01-03,SLC,15,24,7,32,1.6
0.0,2016-01-03,BCB,41,49,33,28,9.33
0.03,2016-01-03,BTV,31,35,26,23,6.5
0.0,2016-01-03,LYH,39,49,29,25,3.6
0.0,2016-01-03,ORF,45,51,39,16,4.7
0.0,2016-01-03,RIC,41,51,30,27,3.6
0.0,2016-01-03,ROA,41,49,33,28,9.33
0.0,2016-01-03,WAL,41,49,33,28,4.26
0.0,2016-01-03,DCA,41,49,33,29,4.83
0.07,2016-01-03,DEW,10,22,-2,24,6.2
0.07,2016-01-03,EPH,12,20,3,34,7.2
0.02,2016-01-03,OLM,26,37,14,11,0.5
0.0,2016-01-03,UIL,34,46,22,6,2.53
0.02,2016-01-03,SEA,35,42,28,6,4.96
0.09,2016-01-03,GEG,12,20,3,2,5.2
0.26,2016-01-03,YKM,16,24,8,30,3.2
0.0,2016-01-03,BKW,33,40,26,27,7.6
0.0,2016-01-03,CRW,37,43,31,24,7.23
0.0,2016-01-03,EKN,32,38,27,24,5.26
0.0,2016-01-03,HTS,36,43,28,24,6.23
0.0,2016-01-03,GRB,23,28,17,27,9.4
0.0,2016-01-03,LSE,25,32,17,27,8.16
0.0,2016-01-03,MSN,24,29,18,28,5.6
0.0,2016-01-03,MKE,26,30,21,28,10.96
0.0,2016-01-03,CPR,21,28,13,22,16.13
0.0,2016-01-03,CYS,23,38,7,27,8.33
0.0,2016-01-03,LND,11,21,0,27,0.43
0.0,2016-01-03,RWL,3,19,-13,16,1.9
0.0,2016-01-03,SHR,22,36,7,21,0.8
0.52,2016-01-10,BHM,44,52,36,12,6.55
0.43,2016-01-10,HSV,43,50,34,13,8.34
0.13,2016-01-10,MOB,49,57,39,14,6.58
0.11,2016-01-10,MGM,47,55,38,15,7.55
0.0,2016-01-10,ANC,28,33,22,12,4.02
0.48,2016-01-10,ANN,36,43,27,24,5.42
0.03,2016-01-10,BET,28,35,21,7,18.0
0.0,2016-01-10,BTT,6,19,-2,29,3.98
2.35,2016-01-10,CDB,32,35,29,22,14.3
0.81,2016-01-10,CDV,35,42,29,12,5.88
0.0,2016-01-10,BIG,13,17,9,11,18.5
0.0,2016-01-10,FAI,2,12,-7,7,1.58
0.0,2016-01-10,GKN,0,7,-6,33,1.35
1.75,2016-01-10,HOM,37,42,31,7,9.45
0.0,2016-01-10,ILI,37,41,33,11,14.15
0.33,2016-01-10,JNU,27,31,22,13,1.81
0.03,2016-01-10,ENA,30,35,25,3,13.51
1.33,2016-01-10,KTN,34,39,28,23,5.17
0.04,2016-01-10,AKN,35,41,29,8,14.55
2.66,2016-01-10,ADQ,37,41,33,11,16.28
0.03,2016-01-10,OTZ,23,27,18,10,18.08
0.0,2016-01-10,MCG,14,24,4,21,1.72
0.09,2016-01-10,OME,29,32,24,7,16.57
0.0,2016-01-10,ORT,-13,-8,-19,18,0.32
0.0,2016-01-10,PAQ,27,36,21,21,8.87
0.0,2016-01-10,PSG,60,60,60,20,2.34
0.0,2016-01-10,PTI,60,60,60,0,0.0
0.0,2016-01-10,SYA,60,60,60,32,14.0
0.13,2016-01-10,SIT,39,43,33,16,6.31
0.12,2016-01-10,SGY,33,36,29,9,18.64
0.77,2016-01-10,SNP,32,36,29,23,18.52
0.0,2016-01-10,TKA,24,32,16,6,5.15
0.0,2016-01-10,TAL,9,16,1,9,4.65
0.05,2016-01-10,BRW,8,16,0,10,12.25
1.26,2016-01-10,YAK,33,39,25,7,2.42
1.16,2016-01-10,DUG,41,52,30,25,4.5
0.61,2016-01-10,IGM,42,49,34,18,5.17
1.13,2016-01-10,PHX,52,57,47,14,3.64
1.53,2016-01-10,TUS,48,56,41,17,4.98
0.12,2016-01-10,INW,35,45,25,19,3.81
0.37,2016-01-10,FSM,38,44,30,17,7.5
0.79,2016-01-10,HRO,34,42,26,19,7.78
1.63,2016-01-10,LZK,40,47,32,0,0.0
0.69,2016-01-10,BFL,51,58,43,13,1.75
0.16,2016-01-10,BIH,36,48,24,24,5.4
0.0,2016-01-10,NID,43,52,34,19,3.8
1.83,2016-01-10,CCR,49,54,44,18,2.94
2.49,2016-01-10,EKA,49,55,42,0,0.0
1.28,2016-01-10,FAT,47,54,41,17,3.42
1.15,2016-01-10,HWD,51,56,46,11,5.81
1.96,2016-01-10,LGB,55,62,48,23,1.58
2.73,2016-01-10,LAX,55,60,49,23,3.04
3.59,2016-01-10,RBL,46,51,42,26,5.14
4.71,2016-01-10,RDD,45,51,40,18,2.5
2.27,2016-01-10,SAC,48,53,41,19,4.04
1.09,2016-01-10,SNS,51,56,45,12,8.04
2.98,2016-01-10,SAN,57,61,53,19,3.62
2.17,2016-01-10,SFO,51,54,47,10,4.45
1.89,2016-01-10,SDB,39,43,34,19,9.58
4.15,2016-01-10,SBA,54,60,47,17,2.22
1.59,2016-01-10,SMX,53,60,45,23,3.6
1.43,2016-01-10,SCK,47,53,40,14,5.4
0.55,2016-01-10,ALS,14,27,1,23,0.92
0.18,2016-01-10,COS,29,39,18,19,2.92
0.34,2016-01-10,CAG,15,26,5,18,0.8
0.38,2016-01-10,DEN,27,37,16,18,4.31
0.31,2016-01-10,GJT,26,33,18,13,1.48
0.41,2016-01-10,PUB,28,42,14,12,2.14
1.23,2016-01-10,BDR,33,43,23,21,7.78
1.46,2016-01-10,BDL,29,41,17,21,5.05
0.68,2016-01-10,NWK,35,45,25,22,6.18
0.68,2016-01-10,ILG,35,45,25,22,6.18
0.05,2016-01-10,DAB,63,70,56,15,8.45
0.94,2016-01-10,FLL,70,77,62,20,6.9
0.16,2016-01-10,GNV,56,64,47,12,7.41
0.21,2016-01-10,JAX,53,59,46,15,8.52
0.46,2016-01-10,EYW,72,76,68,16,8.34
0.84,2016-01-10,MIA,70,77,63,19,5.75
0.55,2016-01-10,MCO,63,70,54,17,7.37
0.69,2016-01-10,PNS,51,58,42,13,6.24
0.92,2016-01-10,TLH,54,62,45,13,7.4
1.19,2016-01-10,TPA,63,71,55,14,6.28
1.59,2016-01-10,VRB,65,73,57,19,6.87
0.99,2016-01-10,PBI,68,75,60,21,7.2
0.69,2016-01-10,AMG,49,58,40,12,4.17
0.47,2016-01-10,AHN,42,50,33,14,6.84
0.64,2016-01-10,ATL,43,50,35,15,10.48
0.16,2016-01-10,AGS,45,54,36,7,7.4
0.26,2016-01-10,MCN,46,53,37,13,7.84
0.14,2016-01-10,SAV,49,57,41,10,8.22
0.33,2016-01-10,ITO,73,83,63,20,1.98
0.0,2016-01-10,HNL,74,81,67,12,5.08
0.44,2016-01-10,OGG,72,82,62,8,6.47
0.16,2016-01-10,MKK,72,80,64,16,5.25
0.08,2016-01-10,LIH,73,80,66,24,5.11
0.04,2016-01-10,BOI,33,39,27,19,1.9
0.01,2016-01-10,LWS,36,40,30,14,2.08
0.09,2016-01-10,PIH,30,35,24,16,3.94
0.47,2016-01-10,ORD,29,35,22,23,8.92
0.22,2016-01-10,MLI,26,33,19,21,7.71
0.51,2016-01-10,PIA,30,36,22,23,7.97
0.21,2016-01-10,UIN,28,36,20,18,9.07
0.65,2016-01-10,RFD,26,32,20,23,8.62
0.59,2016-01-10,SPI,35,38,23,23,10.2
12.65,2016-01-10,EVV,36,45,26,21,4.52
1.15,2016-01-10,FWA,31,40,21,20,6.75
1.08,2016-01-10,IND,34,42,25,19,8.75
0.87,2016-01-10,SBN,27,36,18,17,7.35
0.17,2016-01-10,CID,22,28,15,20,9.8
0.44,2016-01-10,DSM,23,29,16,22,8.8
0.23,2016-01-10,DBQ,22,28,16,18,10.0
0.48,2016-01-10,SUX,21,28,15,19,9.77
0.52,2016-01-10,ALO,20,26,14,23,9.67
0.42,2016-01-10,CNK,26,33,17,20,10.24
0.25,2016-01-10,DDC,31,39,22,21,12.0
0.02,2016-01-10,GLD,28,39,15,22,9.98
0.5,2016-01-10,P28,31,37,23,20,7.94
0.73,2016-01-10,TOP,28,35,21,20,7.47
0.18,2016-01-10,ICT,30,37,23,22,10.34
0.79,2016-01-10,CVG,35,45,25,19,6.97
0.83,2016-01-10,JKL,38,48,28,18,2.14
0.47,2016-01-10,LEX,36,46,26,18,7.82
0.4,2016-01-10,SDF,39,48,29,18,6.91
2.13,2016-01-10,PAH,36,45,26,18,5.31
1.84,2016-01-10,BTR,51,60,41,13,6.15
2.1,2016-01-10,LCH,51,61,41,15,8.01
0.75,2016-01-10,MSY,54,61,47,14,8.84
1.5,2016-01-10,SHV,46,54,37,16,6.58
0.27,2016-01-10,ASD,51,61,40,11,4.03
1.99,2016-01-10,BGR,22,34,9,21,5.52
0.52,2016-01-10,CAR,18,26,9,19,6.44
2.11,2016-01-10,PWM,27,37,16,19,5.88
1.05,2016-01-10,BWI,35,44,26,18,4.67
0.28,2016-01-10,SBY,39,49,27,15,6.34
1.39,2016-01-10,BOS,33,41,25,19,7.51
0.0,2016-01-10,MQE,60,60,60,21,9.51
1.12,2016-01-10,ORH,28,36,19,20,6.7
0.69,2016-01-10,APN,24,33,14,19,6.1
0.66,2016-01-10,DTW,31,39,22,20,5.87
0.71,2016-01-10,FNT,30,39,21,17,7.12
0.82,2016-01-10,GRR,29,36,22,17,7.62
0.78,2016-01-10,HTL,24,32,16,18,6.77
0.86,2016-01-10,LAN,28,36,21,17,7.34
0.61,2016-01-10,MQT,21,27,16,0,0.0
0.95,2016-01-10,MKG,30,37,22,18,8.38
0.61,2016-01-10,ANJ,25,31,18,19,6.61
0.18,2016-01-10,DLH,16,23,8,23,8.68
0.1,2016-01-10,INL,14,20,7,20,5.78
0.17,2016-01-10,MSP,19,25,12,21,8.74
0.44,2016-01-10,RST,17,23,11,23,12.62
0.13,2016-01-10,STC,17,22,8,22,8.54
1.23,2016-01-10,GLH,42,50,35,15,8.21
0.35,2016-01-10,GWO,43,53,32,15,5.12
0.32,2016-01-10,GPT,51,59,41,19,6.52
0.11,2016-01-10,HBG,47,58,35,19,3.94
1.15,2016-01-10,JAN,46,55,36,14,5.95
0.1,2016-01-10,MEI,45,53,33,13,5.37
0.4,2016-01-10,TUP,40,49,30,17,6.15
1.4,2016-01-10,CGI,35,43,27,18,8.58
0.69,2016-01-10,COU,31,38,23,18,9.42
0.6,2016-01-10,MCI,28,35,21,21,9.34
0.67,2016-01-10,VIH,31,38,23,19,9.72
0.69,2016-01-10,SGF,32,39,25,19,10.97
0.54,2016-01-10,STJ,26,32,19,21,8.41
0.52,2016-01-10,STL,34,42,26,23,9.15
0.09,2016-01-10,BIL,23,29,15,18,7.54
0.13,2016-01-10,BTM,18,27,9,26,1.32
0.07,2016-01-10,CTB,10,21,2,28,7.65
0.05,2016-01-10,DLN,19,27,13,14,4.71
0.11,2016-01-10,GGW,11,17,3,21,6.74
0.14,2016-01-10,GTF,15,23,7,15,5.25
0.12,2016-01-10,HVR,9,18,0,25,4.65
0.15,2016-01-10,HLN,16,23,7,21,1.94
0.02,2016-01-10,GPI,22,27,17,15,2.08
0.0,2016-01-10,MLS,13,25,0,21,5.21
0.01,2016-01-10,MSO,21,26,15,12,1.88
0.09,2016-01-10,GRI,22,30,14,20,11.48
0.51,2016-01-10,LNK,24,31,17,21,10.65
0.25,2016-01-10,OFK,20,28,12,20,11.07
0.04,2016-01-10,LBF,25,35,15,20,7.1
0.71,2016-01-10,OMA,23,29,16,20,11.07
0.04,2016-01-10,BFF,21,31,9,26,4.11
0.0,2016-01-10,SNY,20,31,9,29,7.52
0.01,2016-01-10,VTN,17,27,7,27,8.7
1.12,2016-01-10,ELY,22,30,12,23,7.84
0.08,2016-01-10,P68,25,34,17,19,5.28
0.26,2016-01-10,LAS,48,54,43,16,3.02
0.88,2016-01-10,DRA,42,48,36,9,5.17
0.25,2016-01-10,RNO,33,40,26,16,1.4
0.67,2016-01-10,WMC,30,36,23,13,3.48
0.82,2016-01-10,CON,25,38,13,21,3.65
0.0,2016-01-10,MWN,60,60,60,24,31.11
0.8,2016-01-10,ACY,35,46,23,17,6.57
1.78,2016-01-10,EWR,34,44,24,20,7.24
0.37,2016-01-10,ABQ,35,40,28,22,2.61
0.27,2016-01-10,CAO,31,41,21,17,9.2
0.11,2016-01-10,ROW,31,39,23,24,1.67
0.9,2016-01-10,ALB,27,38,16,24,4.08
0.74,2016-01-10,BGM,25,34,15,21,7.14
0.64,2016-01-10,BUF,29,37,20,15,7.87
